,date,policy_type,start_stop,comments,total_phases,state
84,2020-05-22,Houses of Worship,start,"Policy_Details: All businesses open. 
 Phase Level: 3, Phase Details Source information: https://covid19.alaska.gov/wp-content/uploads/2020/05/05192020-Alaskas-Plan-Forward-Final.pdf",,AK
86,2020-09-25,Phase 3,start,Policy_Details: eliminates all restrictions of phase 1 and phase 2 orders   Source information: https://www.flgov.com/wp-content/uploads/orders/2020/EO_20-244.pdf,3.0,FL
92,2020-03-22,Shelter in Place,start,"Policy_Details: The stay at home order was originally extended until May 15th, but was not renewed by the Governor. The stay at home order has officially expired. People are allowed to: Go to the grocery, convenience or warehouse store Go to the pharmacy to pick up medications and other healthcare necessities Go to medical appointments (check with your doctor or provider first) Go to a restaurant for take-out, delivery or drive-thru Care for or support a friend or family member Take a walk, ride your bike, hike, jog and be in nature for exercise — just keep at least six feet between you and others. Walk your pets and take them to the veterinarian if necessary Help someone to get necessary supplies Receive deliveries from any business which delivers   Source information: https://gov.louisiana.gov/home/",,LA
93,2020-08-01,Travel,start,Policy_Details: all persons arriving in MA by any means must quarantine or 14 days unless arriving from a lower-risk State or received a negative test result no longer than 72 hours before arrival    Source information: https://www.mass.gov/doc/july-24-2020-travel-order-pdf/download,4.0,MA
95,2020-03-20,Phase 2,start,"Policy_Details: Governor Polis issued Executive Order D 2020 093 to amend Executive Orders D 2020 011, D 2020 029, D 2020 052, D 2020 084 due to COVID-19 -Suspend C.R.S. 44-3-103(38) defining premise as distinct and definite location and C.R.S. 44-3-301(3)(a) requiring separate geographical location for each licensed premises, for limited purpose of allowing two or more on-premise liquor licenses operating in accordance with Safer at Home, as amended, to obtain temporary approval from state & local licensing authorities to modify licensed premises to have communal outdoor dining area that is within 1,000 ft of their licensed premises -Liquor Enforcement Division takes action within 24 hours of submission for application of temporary modification of license -Temporarily suspend enforcement of statutory limitation prohibiting public consumption of alcohol beverages on any public right of way that has been authorized to allow such consumption by ordinance, resolution, or rule adopted by municipality, city and county, or county Phase Level: 2, Phase Details Source information: https://www.colorado.gov/governor/sites/default/files/inline-files/D%202020%20093LiquorLicensingStatutes.pdf",,CO
97,2020-03-23,Allow Expand Medicaid Telehealth Coverage,start,"Other measures and details for this policy include: religious gatherings exempt without clear social distance mandate, alcohol liquor stores open, keep firearms sellers open",,NC
102,2020-05-11,Mandate Face Mask Use By All Individuals In Public Facing Businesses,start,"Other measures and details for this policy include: alcohol liquor stores open, keep firearms sellers open, made effort to limit abortion access",,AR
103,2020-05-22,museums,start,"Policy_Details: All businesses open. 
 Phase Level: 3, Phase Details Source information: https://covid19.alaska.gov/wp-content/uploads/2020/05/05192020-Alaskas-Plan-Forward-Final.pdf",,AK
104,2020-08-01,Travel,start,"Policy_Details: all visitors and returning residents must quarantine for 14 days unless coming from low-risk states (NY, NJ, CT, ME, RI, VT, NH, HI) and/or testing negative no more than 72 hours before arrival; states may be added or removed from the list of low-risk states at any time based on evolving data; individuals passing through the state, commuting across state lines for work, traveling to MA for medical treatment, complying with military orders, and/or traveling to work in federally designated critical infrastructure sectors (i.e. essential services) are exempt; failure to comply may result in a $500 fine for each day of non-compliance    Source information: https://www.mass.gov/doc/july-24-2020-travel-order-pdf/download",4.0,MA
107,2020-03-15,Nursing Homes,start,"Other measures and details for this policy include: alcohol liquor stores open, keep firearms sellers open",,MT
108,2020-03-19,Stop Initiation Of Evictions Overall Or Due To Covid Related Issues,start,"Other measures and details for this policy include: alcohol liquor stores open, keep firearms sellers open, made effort to limit abortion access",,IN
113,2020-07-27,Mandate Face Mask Use By All Individuals In Public Spaces,start,"Other measures and details for this policy include: alcohol liquor stores open, keep firearms sellers open, made effort to limit abortion access",,IN
117,2020-03-06,State of Emergency,start,"Other measures and details for this policy include: alcohol liquor stores open, keep firearms sellers open, made effort to limit abortion access",,KY
118,2020-06-15,Phase 2,start,"Policy_Details: Delaware enters Phase 2 on June 15  Phase Level: 2, Phase Details Source information: https://coronavirus.delaware.gov/reopening/phase2/",,DE
121,2020-05-30,Childcare (K-12),start,"Policy_Details: Mandatory social distancing.
Schools: CLOSED
All other businesses: 50% capacity or up to 10 people. Phase Level: 2, Phase Details Source information: https://www.ghs.guam.gov/jic-release-no-115-governor-signs-executive-order-2020-14-guam-pcor-2-sunday-pandemic-condition",4.0,GU
122,2020-03-17,Stop Initiation Of Evictions Overall Or Due To Covid Related Issues,start,"Other measures and details for this policy include: alcohol liquor stores open, keep firearms sellers open",,NH
125,2020-04-23,Phase 1,start,"Policy_Details: Georgia begins phase 1 with Governor Brian Kemp Executive Order 4/23 reopening Phase Level: 1, Phase Details Source information: https://www.georgia.org/covid19bizguide, https://www.wsbtv.com/news/local/whats-opening-georgia-phase-1-covid-19-recovery/MMAHJ7FF25DUHMOCTJHJYCUUQI/, https://gov.georgia.gov/executive-action/executive-orders/2020-executive-orders (click on order from 4/23 to download pdf)",3.0,GA
126,2020-06-01,Childcare (K-12),start,"Policy_Details: All industries: practice social distancing
Retail: 25% capacity
No stated capacity limits on any other industries.   Source information: https://health.mo.gov/living/healthcondiseases/communicable/novel-coronavirus/pdf/economic-reopening61-15.pdf",,MO
127,2020-03-20,Allow Expand Medicaid Telehealth Coverage,start,"Other measures and details for this policy include: religious gatherings exempt without clear social distance mandate, alcohol liquor stores open, keep firearms sellers open, made effort to limit abortion access",,PA
129,2020-05-15,New Phase,start,Policy_Details: Gov't Northam   Source information: https://www.governor.virginia.gov/newsroom/all-releases/2020/may/headline-856681-en.html,,VA
130,2020-05-28,Personal Care,start,"Policy_Details: 50% capacity, appointment only Phase Level: 2, Phase Details Source information: https://governor.iowa.gov/sites/default/files/documents/Public%20Health%20Proclamation%20-%202020.05.26%20%281%29.pdf",,IA
133,2020-06-02,libraries,start,"Policy_Details: libraries may resume services immediately, but only with  limited services of fulfilling braille book orders by mail.  Subject to social distancing conditions.  Phase Level: 1, Phase Details Source information: https://www.governor.wa.gov/sites/default/files/COVID19%20Phase1%20WA%20Talking%20Book%20and%20Braille%20Library%20Memo.pdf?utm_medium=email&utm_source=govdelivery",,WA
134,2020-06-13,Mask Requirement,start,Policy_Details: Recommended individuals where face coverings in public.   Source information: https://rebound.idaho.gov/stage-4-stay-healthy-guidelines/,4.0,ID
135,2020-05-30,Manufacturing,start,"Policy_Details: Businesses opening their doors should have operational plants to mitigate risk. 
Gatherings between 10 - 50 people allowed if appropriate measures taken. 
bars can be open.  Nightclubs remain closed. Movie theaters allowed t o open.  Phase Level: 3, Phase Details Source information: https://rebound.idaho.gov/stages-of-reopening/",,ID
138,2020-03-24,Gyms,start,"Other measures and details for this policy include: alcohol liquor stores open, paid sick leave",,MA
139,2020-03-17,Allow Audio Only Telehealth,start,"Other measures and details for this policy include: religious gatherings exempt without clear social distance mandate, alcohol liquor stores open, keep firearms sellers open, made effort to limit abortion access",,TX
140,2020-03-20,Stop Initiation Of Evictions Overall Or Due To Covid Related Issues,start,"Other measures and details for this policy include: religious gatherings exempt without clear social distance mandate, alcohol liquor stores open",,NY
142,2020-05-14,Food and Drink,start,"Policy_Details: restaurants & bars open for take-out, delivery and drive-through only 
 Phase Level: 3, Phase Details Source information: https://www.michigan.gov/documents/whitmer/MI_SAFE_START_PLAN_689875_7.pdf",6.0,MI
145,2020-04-03,Suspended Elective Medical Dental Procedures,start,"Other measures and details for this policy include: alcohol liquor stores open, keep firearms sellers open, made effort to limit abortion access",,AR
147,2020-03-20,Suspended Elective Medical Dental Procedures,start,"Other measures and details for this policy include: religious gatherings exempt without clear social distance mandate, alcohol liquor stores open, keep firearms sellers open",,FL
148,0020-07-01,Entertainment,start,"Other measures and details for this policy include: alcohol liquor stores open, keep firearms sellers open",,VA
151,2020-06-04,Entertainment,start,"Policy_Details: amusement parks, arcades, bingo halls, bowling alleys, indoor climbing facilities, indoor dance areas, skating rinks, trampoline parks, indoor theaters, cinemas, performance venues, casionos remain closed 
 Phase Level: 4, Phase Details Source information: https://www.michigan.gov/whitmer/0,9309,7-387-90499_90705-530620--,00.html",6.0,MI
153,2020-03-17,Childcare (K-12),start,"Other measures and details for this policy include: religious gatherings exempt without clear social distance mandate, alcohol liquor stores open, keep firearms sellers open",,FL
154,2020-05-15,New Phase,start,Policy_Details: Ease restrictions on several business categories   Source information: https://health.wyo.gov/restrictions-ease-under-updated-public-health-orders/Source,,WY
155,2020-03-27,Stop Enforcement Of Evictions Overall Or Due To Covid Related Issues,start,"Other measures and details for this policy include: alcohol liquor stores open, paid sick leave",,CA
157,2020-05-11,Manufacturing,start,"Policy_Details: Statement release from Office of the Governor, statewide. As of May 11, manufacturing, construction can restart if they meet minimum and industry-specific requirements.  Phase Level: 2, Phase Details Source information: https://kentucky.gov/Pages/Activity-stream.aspx?n=GovernorBeshear&prId=148",,KY
158,2020-05-14,Non-Essential Businesses,start,"Policy_Details: retail open for curbside pickup & delivery only Phase Level: 3, Phase Details Source information: https://www.michigan.gov/documents/whitmer/MI_SAFE_START_PLAN_689875_7.pdf",6.0,MI
159,2020-03-18,Allow Expand Medicaid Telehealth Coverage,start,"Other measures and details for this policy include: alcohol liquor stores open, keep firearms sellers open, paid sick leave",,CT
160,2020-03-20,Reopened ACA Enrollment Using a Special Enrollment Period,start,"Other measures and details for this policy include: alcohol liquor stores open, keep firearms sellers open",,MN
163,2020-06-15,Non-Essential Businesses,start,"Policy_Details: Outdoor dining (beginning on June 15)
Limited in-person retail (beginning on June 15)
Hair salons and barber shops (beginning on June 22)
Youth summer programs (beginning on July 6)
In-person clinical research/labs
Limited fitness/gyms
Limited in-person government services (e.g. – Motor Vehicle Commission)
Museums/libraries Phase Level: 2, Phase Details Source information: https://covid19.nj.gov/faqs/nj-information/general-public/how-does-new-jersey-plan-to-lift-restrictions-what-does-a-responsible-and-strategic-restart-of-new-jerseys-economy-look-like",,NJ
167,2020-06-15,Childcare (K-12),start,"Policy_Details: K-12 schools, colleges, universities, trade schools may provide on site instruction to students under following provisions 
Groups shall be limited to 50 people (students, teachers) in each separate room
Spacing of at least 6 ft between people, face coverings worn when 6 ft can't be maintained
6 ft between students during transportation to and from facility
Hand hygiene must be performed frequently  Phase Level: 2, Phase Details Source information: https://covid19.wyo.gov/governors-orders",,WY
170,2020-03-23,Modify Medicaid Requirements With 1135 Waivers Date Of CMS Approval,start,"Other measures and details for this policy include: religious gatherings exempt without clear social distance mandate, alcohol liquor stores open, keep firearms sellers open",,NC
171,2020-03-24,Order Freezing Utility Shut Offs,start,"Other measures and details for this policy include: religious gatherings exempt without clear social distance mandate, alcohol liquor stores open, keep firearms sellers open",,DE
173,2020-05-06,Mask Requirement,start,"Policy_Details: any person over age two unable to maintain a distance of 6 ft from others whether indoors or outdoors) shall cover their mouth and nose with a mask or cloth face covering; all persons are required to wear masks or cloth face coverings at all times when inside grocery stores, pharmacies, and other retail stores and while waiting for/riding in any taxi, ride-sharing vehicle, or mass public transit    Source information: https://www.mass.gov/doc/may-1-2020-masks-and-face-coverings/download",4.0,MA
175,2020-03-16,Outdoor and Recreation,start,"Policy_Details: Retail - 50% 
Personal Care - Mon-Sat
Outdoor and Recreations - Within curfew
   Source information: https://www.estado.pr.gov/en/executive-orders/",,PR
176,2020-05-30,Non-Essential Businesses,start,"Policy_Details: Mandatory social distancing.
Schools: CLOSED
All other businesses: 50% capacity or up to 10 people. Phase Level: 2, Phase Details Source information: https://www.ghs.guam.gov/jic-release-no-115-governor-signs-executive-order-2020-14-guam-pcor-2-sunday-pandemic-condition",4.0,GU
177,2020-04-30,Personal Care,start,"Policy_Details: New Mexico's stay at home restrictions were modified on April 30, with an extension of the state's stay-at-home order in place until May 15.
New Mexicans must remain home except for outings essential for health, safety and welfare, especially elderly and vulnerable individuals. If you must leave home, gatherings of more than five people remain prohibited and 6 feet of physical distance from others must be maintained.
High-intensity contact services that must remain closed include massage and tattoo parlors.   Source information: https://cv.nmhealth.org/2020/05/13/stay-at-home-order-extended/",,NM
181,2020-03-17,Stop Initiation Of Evictions Overall Or Due To Covid Related Issues,start,"Other measures and details for this policy include: religious gatherings exempt without clear social distance mandate, alcohol liquor stores open, keep firearms sellers open",,SC
189,2020-05-16,Houses of Worship,start,"Policy_Details: All businesses are open but must establish and implement policies based on CDC guidance including: hygiene, intensify cleaning, physical distancing, protective equipment, limiting to 10 people when feasible. Phase Level: 1, Phase Details Source information: https://azgovernor.gov/sites/default/files/executive_order_2020-36_return_stronger.pdf",,AZ
190,2020-05-15,Non-Essential Businesses,start,"Policy_Details: Currently open: Grocery stores, pharmacies, banks and credit unions, and gas stations are all open.
Restaurants are open for take-out service only.
Stand alone retail operations are open provided they meet required safety and physical distancing guidelines. Indoor and outdoor malls are closed.
Local outdoor recreation activities are open, including many state parks.
Non-emergency medical care, dentist offices and veterinary care are open and operating, provided they meet required safety guidelines.
Local cultural, civic and faith gatherings are allowed for up to 25 people provided physical distancing can be in place.
Local social gatherings over 10 people are prohibited and those under 10 people must use physical distancing.
Personal care services such as salons and barbers, as well as gyms, are closed.
Child care is open under certain restrictions, with priority placements for children of health care workers, first responders, and frontline workers.
Public transit is open under certain restrictions, and must be sanitized often and enforce 3 feet of space between passengers.
Overnight camps are not permitted. Day camps are open with restrictions, including maximum stable groups of 10 or fewer children.
For summer school, limited in-person, small group instruction and/or summer programming is allowed, with certain restrictions.
 Phase Level: 1, Phase Details Source information: https://govstatus.egov.com/reopening-oregon#phase1",,OR
196,2020-07-06,Day Care,start,"Policy_Details: ""Infants to 3 year old – 15 children per room/space
3 year olds – 20 children per room/space
4-5 year olds – 24 children per room/space
School-age children (K-12) – 30 children per room/space""   Source information: http://dhhs.ne.gov/Documents/COVID-19-Outline-of-Changes-to-Upcoming-DHMs-Phase-III.pdf",4.0,NE
197,2020-03-16,Gyms,start,"Other measures and details for this policy include: alcohol liquor stores open, keep firearms sellers open, paid sick leave",,CT
198,2020-03-16,Gyms,start,"Other measures and details for this policy include: religious gatherings exempt without clear social distance mandate, alcohol liquor stores open, paid sick leave",,MI
199,2020-03-30,Allow Audio Only Telehealth,start,"Other measures and details for this policy include: alcohol liquor stores open, keep firearms sellers open, made effort to limit abortion access",,IN
200,2020-04-02,Shelter in Place,start,State Policy Start,,IA
202,2020-06-22,Food and Drink,start,"Policy_Details: Businesses (restaurants) that opened May 22 at 33% capacity can expand to 50% capacity a month later, on June 22, if they meet the guidelines.   Source information: https://kentucky.gov/Pages/Activity-stream.aspx?n=GovernorBeshear&prId=175, https://kentucky.gov/Pages/Activity-stream.aspx?n=GovernorBeshear&prId=156",,KY
203,2020-03-12,State of Emergency,start,"Other measures and details for this policy include: keep firearms sellers open, paid sick leave",,NV
205,2020-04-27,Outdoor and Recreation,start,"Policy_Details: Main Street and retail businesses can become operational with reduced capacity and
where strict physical distancing protocols can be maintained.
Outdoor recreation can become operational if sites adhere to strict physical distancing
between groups and exercise frequent sanitation protocols if public facilities are open.
Organized youth activities can consider becoming operational if physical distancing
guidelines can be implemented. (Organized youth activities should avoid gathering in groups of more than 10 people in circumstances that do not readily allow for appropriate physical
distancing.) Phase Level: 1, Phase Details Source information: https://covid19.mt.gov/Portals/223/Documents/04-22-20%20Directive%20and%20Appx%20-%20Reopening%20Phase%20One.pdf?ver=2020-04-22-124954-977",,MT
207,2020-04-01,Shelter in Place,start,"Policy_Details: Executive Order 1466 by Governor Tate Reeves: Shelter in Place; all residents to stay home except for essential activities (restaurants, bars allowed to do takeout; personal care, other businesses, and most recreation/entertainment to be closed (parks closed, but walking trails at lakes/reservoirs open).  Ordered 4/1/2020, extended by another week by EO 1473 to end 4/27 but amended to allow for reopening of recreation outdoor spaces such as beaches, parks, lakes, etc. on limited basis.    Source information: https://www.sos.ms.gov/content/executiveorders/ExecutiveOrders/1466.pdf, https://www.sos.ms.gov/content/executiveorders/ExecutiveOrders/1473.pdf",,MS
212,2020-03-13,Allow Expand Medicaid Telehealth Coverage,start,"Other measures and details for this policy include: alcohol liquor stores open, keep firearms sellers open, made effort to limit abortion access",,LA
213,2020-06-22,Graduation,start,"Policy_Details: In person high school graduation ceremonies may resume with guidance from West Virginia Department of Education Phase Level: 2, Phase Details Source information: https://governor.wv.gov/Pages/The-Comeback.aspx",,WV
215,2020-06-22,Phase 3,start,"Policy_Details: Hall, Hamilton, Merrick and Dakota: PHASE 2
All other counties: PHASE 3

Gatherings: Indoor = 50% capacity, outdoor = 75% capacity.
   Source information: http://dhhs.ne.gov/Documents/COVID-19-Outline-of-Changes-to-Upcoming-DHMs-Phase-III.pdf",,NE
216,2020-04-01,Stop Enforcement Of Evictions Overall Or Due To Covid Related Issues,start,"Other measures and details for this policy include: alcohol liquor stores open, keep firearms sellers open",,UT
218,2020-05-08,Phase 2,start,"Policy_Details: • 50% capacity for businesses such as retail, restaurants, personal care and offices • 25% capacity for gyms, bars, libraries and theaters • Swimming pools open to 50% of pool capacity • Walk-ins allowed for restaurants and bars • Social and religious gatherings of up to 50 people, including non-household members (with social distancing)   Source information: https://covid19.alaska.gov/reopen/",,AK
219,2020-05-28,Houses of Worship,start,"Policy_Details: Social distancing Phase Level: 2, Phase Details Source information: https://governor.iowa.gov/sites/default/files/documents/Public%20Health%20Proclamation%20-%202020.05.26%20%281%29.pdf",,IA
222,2020-03-27,Mask Requirement,start,Policy_Details: Masks strongly recommended whenever in situations where social distancing is difficult   Source information: https://www.leg.mn.gov/archive/execorders/20-48.pdf,4.0,MN
223,2020-03-27,Suspended Elective Medical Dental Procedures,start,"Other measures and details for this policy include: alcohol liquor stores open, keep firearms sellers open, made effort to limit abortion access",,IA
224,2020-03-30,Allow Audio Only Telehealth,start,"Other measures and details for this policy include: alcohol liquor stores open, paid sick leave",,CA
225,2020-03-23,Stop Initiation Of Evictions Overall Or Due To Covid Related Issues,start,"Other measures and details for this policy include: alcohol liquor stores open, keep firearms sellers open, made effort to limit abortion access",,AK
229,2020-05-06,Mandate Face Mask Use By All Individuals In Public Facing Businesses,start,Other measures and details for this policy include: religious gatherings exempt without clear social distance mandate,,NM
230,2020-03-17,Allow Expand Medicaid Telehealth Coverage,start,"Other measures and details for this policy include: alcohol liquor stores open, keep firearms sellers open, made effort to limit abortion access",,NE
232,2020-05-04,Outdoor and Recreation,start,"Policy_Details: Governor lifted two executive orders, statewide. 
Close contact service providers, fitness and exercise centers, commercial gyms — including group exercise classes — and public or commercial pools can open in a limited capacity on May 18. The state has issued specific guidelines for pools and fitness centers.
McMaster lifted restrictions on boating statewide, effective May 8.
   Source information: https://governor.sc.gov/news/2020-05/gov-henry-mcmaster-lift-work-or-home-order-may-4th",,SC
