date,policy_type,start_stop,comments,total_phases,state
2020-06-16,phase 3,start,Policy_Details: Restaurants / Food Services & Personal Care mat reopen   Source information: https://forward.ny.gov/phase-three-industries,,NY
2020-03-30,shelter in place,start,State Policy Start,,VA
2020-07-20,phase 3,start,"Policy_Details: limits the number of individuals allowed in social gatherings during Phase 3 from 50 people to 10 people. 
counties in phase 2 may continue to have social gatherings of up to five people.    Source information: https://www.governor.wa.gov/news-media/inslee-announces-steps-address-covid-19-spread",,WA
2020-05-22,entertainment,start,"Policy_Details: bars, nightclubs, amusement parks, water parks, festivals, fairs, parades, movie theaters remain closed  Phase Level: 3, Phase Details Source information: https://backontrack.in.gov/files/BackOnTrack-IN_WhatsOpen-Closed-stage2.pdf",5.0,IN
2020-05-08,entertainment,start,"Policy_Details: Stage 2 allows gradual reopening of lower-risk workplaces with adaptations including bookstores, clothing stores, florists and sporting goods stores, with modifications 

 Phase Level: 2, Phase Details Source information: https://www.gov.ca.gov/wp-content/uploads/2020/05/5.4-Report-Card-on-California-Resilience-Roadmap.pdf",,CA
2020-05-26,outdoor and recreation,start,"Policy_Details: Gov't Justice   Source information: https://governor.wv.gov/News/press-releases/2020/Pages/COVID-19-UPDATE-Gov.-Justice-announces-schedule-for-additional-reopenings-including-malls,-bars,-casinos,-and-more.aspx",,WV
2020-06-10,entertainment,start,"Policy_Details: Golf courses/driving ranges, outdoor archery/shooting ranges, marinas and watercraft rental businesses, campgrounds, horse boarding/riding facilities, drive in movie theaters, outdoor swimming pools, outdoor day camps, tour boats may open to general public Phase Level: 2, Phase Details Source information: https://governor.maryland.gov/wp-content/uploads/2020/06/Gatherings-NINTH-AMENDED-6.10.20.pdf",,MD
2020-09-25,phase 3,start,Policy_Details: eliminates all restrictions of phase 1 and phase 2 orders   Source information: https://www.flgov.com/wp-content/uploads/orders/2020/EO_20-244.pdf,3.0,FL
2020-03-22,shelter in place,start,"Policy_Details: The stay at home order was originally extended until May 15th, but was not renewed by the Governor. The stay at home order has officially expired. People are allowed to: Go to the grocery, convenience or warehouse store Go to the pharmacy to pick up medications and other healthcare necessities Go to medical appointments (check with your doctor or provider first) Go to a restaurant for take-out, delivery or drive-thru Care for or support a friend or family member Take a walk, ride your bike, hike, jog and be in nature for exercise — just keep at least six feet between you and others. Walk your pets and take them to the veterinarian if necessary Help someone to get necessary supplies Receive deliveries from any business which delivers   Source information: https://gov.louisiana.gov/home/",,LA
2020-08-01,travel,start,Policy_Details: all persons arriving in MA by any means must quarantine or 14 days unless arriving from a lower-risk State or received a negative test result no longer than 72 hours before arrival    Source information: https://www.mass.gov/doc/july-24-2020-travel-order-pdf/download,4.0,MA
2020-03-20,phase 2,start,"Policy_Details: Governor Polis issued Executive Order D 2020 093 to amend Executive Orders D 2020 011, D 2020 029, D 2020 052, D 2020 084 due to COVID-19 -Suspend C.R.S. 44-3-103(38) defining premise as distinct and definite location and C.R.S. 44-3-301(3)(a) requiring separate geographical location for each licensed premises, for limited purpose of allowing two or more on-premise liquor licenses operating in accordance with Safer at Home, as amended, to obtain temporary approval from state & local licensing authorities to modify licensed premises to have communal outdoor dining area that is within 1,000 ft of their licensed premises -Liquor Enforcement Division takes action within 24 hours of submission for application of temporary modification of license -Temporarily suspend enforcement of statutory limitation prohibiting public consumption of alcohol beverages on any public right of way that has been authorized to allow such consumption by ordinance, resolution, or rule adopted by municipality, city and county, or county Phase Level: 2, Phase Details Source information: https://www.colorado.gov/governor/sites/default/files/inline-files/D%202020%20093LiquorLicensingStatutes.pdf",,CO
2020-08-01,travel,start,"Policy_Details: all visitors and returning residents must quarantine for 14 days unless coming from low-risk states (NY, NJ, CT, ME, RI, VT, NH, HI) and/or testing negative no more than 72 hours before arrival; states may be added or removed from the list of low-risk states at any time based on evolving data; individuals passing through the state, commuting across state lines for work, traveling to MA for medical treatment, complying with military orders, and/or traveling to work in federally designated critical infrastructure sectors (i.e. essential services) are exempt; failure to comply may result in a $500 fine for each day of non-compliance    Source information: https://www.mass.gov/doc/july-24-2020-travel-order-pdf/download",4.0,MA
2020-06-15,phase 2,start,"Policy_Details: Delaware enters Phase 2 on June 15  Phase Level: 2, Phase Details Source information: https://coronavirus.delaware.gov/reopening/phase2/",,DE
2020-04-23,phase 1,start,"Policy_Details: Georgia begins phase 1 with Governor Brian Kemp Executive Order 4/23 reopening Phase Level: 1, Phase Details Source information: https://www.georgia.org/covid19bizguide, https://www.wsbtv.com/news/local/whats-opening-georgia-phase-1-covid-19-recovery/MMAHJ7FF25DUHMOCTJHJYCUUQI/, https://gov.georgia.gov/executive-action/executive-orders/2020-executive-orders (click on order from 4/23 to download pdf)",3.0,GA
2020-05-30,manufacturing,start,"Policy_Details: Businesses opening their doors should have operational plants to mitigate risk. 
Gatherings between 10 - 50 people allowed if appropriate measures taken. 
bars can be open.  Nightclubs remain closed. Movie theaters allowed t o open.  Phase Level: 3, Phase Details Source information: https://rebound.idaho.gov/stages-of-reopening/",,ID
2020-06-04,entertainment,start,"Policy_Details: amusement parks, arcades, bingo halls, bowling alleys, indoor climbing facilities, indoor dance areas, skating rinks, trampoline parks, indoor theaters, cinemas, performance venues, casionos remain closed 
 Phase Level: 4, Phase Details Source information: https://www.michigan.gov/whitmer/0,9309,7-387-90499_90705-530620--,00.html",6.0,MI
2020-05-11,manufacturing,start,"Policy_Details: Statement release from Office of the Governor, statewide. As of May 11, manufacturing, construction can restart if they meet minimum and industry-specific requirements.  Phase Level: 2, Phase Details Source information: https://kentucky.gov/Pages/Activity-stream.aspx?n=GovernorBeshear&prId=148",,KY
2020-05-14,non-essential businesses,start,"Policy_Details: retail open for curbside pickup & delivery only Phase Level: 3, Phase Details Source information: https://www.michigan.gov/documents/whitmer/MI_SAFE_START_PLAN_689875_7.pdf",6.0,MI
2020-06-15,non-essential businesses,start,"Policy_Details: Outdoor dining (beginning on June 15)
Limited in-person retail (beginning on June 15)
Hair salons and barber shops (beginning on June 22)
Youth summer programs (beginning on July 6)
In-person clinical research/labs
Limited fitness/gyms
Limited in-person government services (e.g. – Motor Vehicle Commission)
Museums/libraries Phase Level: 2, Phase Details Source information: https://covid19.nj.gov/faqs/nj-information/general-public/how-does-new-jersey-plan-to-lift-restrictions-what-does-a-responsible-and-strategic-restart-of-new-jerseys-economy-look-like",,NJ
2020-03-16,outdoor and recreation,start,"Policy_Details: Retail - 50% 
Personal Care - Mon-Sat
Outdoor and Recreations - Within curfew
   Source information: https://www.estado.pr.gov/en/executive-orders/",,PR
2020-05-30,non-essential businesses,start,"Policy_Details: Mandatory social distancing.
Schools: CLOSED
All other businesses: 50% capacity or up to 10 people. Phase Level: 2, Phase Details Source information: https://www.ghs.guam.gov/jic-release-no-115-governor-signs-executive-order-2020-14-guam-pcor-2-sunday-pandemic-condition",4.0,GU
2020-05-15,non-essential businesses,start,"Policy_Details: Currently open: Grocery stores, pharmacies, banks and credit unions, and gas stations are all open.
Restaurants are open for take-out service only.
Stand alone retail operations are open provided they meet required safety and physical distancing guidelines. Indoor and outdoor malls are closed.
Local outdoor recreation activities are open, including many state parks.
Non-emergency medical care, dentist offices and veterinary care are open and operating, provided they meet required safety guidelines.
Local cultural, civic and faith gatherings are allowed for up to 25 people provided physical distancing can be in place.
Local social gatherings over 10 people are prohibited and those under 10 people must use physical distancing.
Personal care services such as salons and barbers, as well as gyms, are closed.
Child care is open under certain restrictions, with priority placements for children of health care workers, first responders, and frontline workers.
Public transit is open under certain restrictions, and must be sanitized often and enforce 3 feet of space between passengers.
Overnight camps are not permitted. Day camps are open with restrictions, including maximum stable groups of 10 or fewer children.
For summer school, limited in-person, small group instruction and/or summer programming is allowed, with certain restrictions.
 Phase Level: 1, Phase Details Source information: https://govstatus.egov.com/reopening-oregon#phase1",,OR
2020-04-02,shelter in place,start,State Policy Start,,IA
2020-04-27,outdoor and recreation,start,"Policy_Details: Main Street and retail businesses can become operational with reduced capacity and
where strict physical distancing protocols can be maintained.
Outdoor recreation can become operational if sites adhere to strict physical distancing
between groups and exercise frequent sanitation protocols if public facilities are open.
Organized youth activities can consider becoming operational if physical distancing
guidelines can be implemented. (Organized youth activities should avoid gathering in groups of more than 10 people in circumstances that do not readily allow for appropriate physical
distancing.) Phase Level: 1, Phase Details Source information: https://covid19.mt.gov/Portals/223/Documents/04-22-20%20Directive%20and%20Appx%20-%20Reopening%20Phase%20One.pdf?ver=2020-04-22-124954-977",,MT
2020-04-01,shelter in place,start,"Policy_Details: Executive Order 1466 by Governor Tate Reeves: Shelter in Place; all residents to stay home except for essential activities (restaurants, bars allowed to do takeout; personal care, other businesses, and most recreation/entertainment to be closed (parks closed, but walking trails at lakes/reservoirs open).  Ordered 4/1/2020, extended by another week by EO 1473 to end 4/27 but amended to allow for reopening of recreation outdoor spaces such as beaches, parks, lakes, etc. on limited basis.    Source information: https://www.sos.ms.gov/content/executiveorders/ExecutiveOrders/1466.pdf, https://www.sos.ms.gov/content/executiveorders/ExecutiveOrders/1473.pdf",,MS
2020-06-22,phase 3,start,"Policy_Details: Hall, Hamilton, Merrick and Dakota: PHASE 2
All other counties: PHASE 3

Gatherings: Indoor = 50% capacity, outdoor = 75% capacity.
   Source information: http://dhhs.ne.gov/Documents/COVID-19-Outline-of-Changes-to-Upcoming-DHMs-Phase-III.pdf",,NE
2020-05-08,phase 2,start,"Policy_Details: • 50% capacity for businesses such as retail, restaurants, personal care and offices • 25% capacity for gyms, bars, libraries and theaters • Swimming pools open to 50% of pool capacity • Walk-ins allowed for restaurants and bars • Social and religious gatherings of up to 50 people, including non-household members (with social distancing)   Source information: https://covid19.alaska.gov/reopen/",,AK
2020-05-04,outdoor and recreation,start,"Policy_Details: Governor lifted two executive orders, statewide. 
Close contact service providers, fitness and exercise centers, commercial gyms — including group exercise classes — and public or commercial pools can open in a limited capacity on May 18. The state has issued specific guidelines for pools and fitness centers.
McMaster lifted restrictions on boating statewide, effective May 8.
   Source information: https://governor.sc.gov/news/2020-05/gov-henry-mcmaster-lift-work-or-home-order-may-4th",,SC
2020-04-03,shelter in place,start,State Policy Start,,FL
2020-05-16,phase 2,start,"Policy_Details: All vulnerable Idahoans should continue to self-isolate. Gatherings, both public and private, of less than 10 people, where appropriate physical distancing and precautionary measures are observed can occur. Hair salons open if ability to meet business protocols. Indoor gyms and recreation facilities can open if ability to meet business protocols. Restaurant dining rooms can open once their plans have been submitted for approval by local public health districts. Nightclubs remain closed. Nightclubs should develop plans for reopening as a bar in Stage 3 with ability to meet business protocols and without close contact activities such as dancing. Bars remain closed. Bars should develop plans for reopening and ability to meet business protocols in order to open in stage 3. Large venues (e.g., movie theaters, and sporting venues) are closed. Phase Level: 2, Phase Details Source information: https://coronavirus.idaho.gov/wp-content/uploads/2020/05/stay-healthy-order-stage2.pdf",,ID
2020-03-24,shelter in place,start,State Policy Start,,OK
2020-04-07,shelter in place,start,"Stay at home , effective April 7 at 5 p.m.",,SC
2020-09-21,outdoor and recreation,start,"Policy_Details: Subject to local regulation, outdoor recreational facilities may open to the general public. Indoor recreational facilities may open to the general public if they do not exceed 50% of max capacity.   Source information: https://governor.maryland.gov/wp-content/uploads/2020/09/Gatherings-13th-AMENDED-9.18.20.pdf",,MD
2020-03-27,shelter in place,start,Policy_Details   Source information: Email from Rachel Lancaster,,UT
2020-06-01,phase 2,start,Policy_Details: All industries: practice social distancing Retail: 25% capacity No stated capacity limits on any other industries.   Source information: https://health.mo.gov/living/healthcondiseases/communicable/novel-coronavirus/pdf/economic-reopening61-15.pdf,,MO
2020-05-01,entertainment,start,"Policy_Details: drive-in movie theaters open
 Phase Level: 1, Phase Details Source information: https://www.maine.gov/covid19/restartingmaine",3.0,ME
2020-06-30,phase 4,start,"Policy_Details: Higher Education
Low-Risk Outdoor Arts & Entertainment
Low-Risk Indoor Arts & Entertainment
Media Production
Professional Sports Competitions With No Fans   Source information: https://www.governor.ny.gov/news/governor-cuomo-announces-capital-region-cleared-global-public-health-experts-enter-phase-4",,NY
2020-03-24,shelter in place,start,State Policy Start,,DE
2020-05-15,phase 1,start,"Policy_Details: This is NOT an SIP/SAH. It is a Public Health Disaster Emergency Proclamation ""Today, [5/13/20] Governor Reynolds signed a new proclamation continuing the Public Health Disaster Emergency. The proclamation permits salons, barbershops, and massage and tattoo establishments to reopen throughout Iowa in a limited fashion with appropriate public health measures in place. It also permits restaurants (but not bars), fitness centers, libraries, and race tracks to reopen in the 22 counties where they have remained closed. These changes are effective at 5:00 a.m. on Friday, May 15. The proclamation continues the other ongoing closures and public health measures, including the prohibition on social, community, recreational, leisure, and sporting gatherings and events of more than 10 people, until 11:59 p.m. on May 27, 2020.""   Source information: https://governor.iowa.gov/sites/default/files/documents/Public%20Health%20Proclamation%20-%202020.05.13.pdf?utm_medium=email&utm_source=govdelivery",,IA
2020-03-16,manufacturing,start,"Policy_Details: Retail - 50% 
Personal Care - Mon-Sat
Outdoor and Recreations - Within curfew
   Source information: https://www.estado.pr.gov/en/executive-orders/",,PR
2020-05-15,outdoor and recreation,start,"Policy_Details: Currently open: Grocery stores, pharmacies, banks and credit unions, and gas stations are all open.
Restaurants are open for take-out service only.
Stand alone retail operations are open provided they meet required safety and physical distancing guidelines. Indoor and outdoor malls are closed.
Local outdoor recreation activities are open, including many state parks.
Non-emergency medical care, dentist offices and veterinary care are open and operating, provided they meet required safety guidelines.
Local cultural, civic and faith gatherings are allowed for up to 25 people provided physical distancing can be in place.
Local social gatherings over 10 people are prohibited and those under 10 people must use physical distancing.
Personal care services such as salons and barbers, as well as gyms, are closed.
Child care is open under certain restrictions, with priority placements for children of health care workers, first responders, and frontline workers.
Public transit is open under certain restrictions, and must be sanitized often and enforce 3 feet of space between passengers.
Overnight camps are not permitted. Day camps are open with restrictions, including maximum stable groups of 10 or fewer children.
For summer school, limited in-person, small group instruction and/or summer programming is allowed, with certain restrictions.
 Phase Level: 1, Phase Details Source information: https://govstatus.egov.com/reopening-oregon#phase1",,OR
2020-06-08,phase 2,start,"Policy_Details: Governor Justice announced that the following businesses involved in outdoor and recreation can begin to reopen June 8 and June 10, 2020 -Low contact outdoor youth sports -WVSSAC sanctioned athletics and band summer training programs -Little league sports practices -All remaining adult sports facilities including indoor tennis courts, racquetball courts, outdoor basketball courts, and similar venues -Private campgrounds and state park campgrounds, cabins, and lodges to out-of-state guests (stays must be no longer than 7 days) Phase Level: 2, Phase Details Source information: https://governor.wv.gov/Pages/The-Comeback.aspx",,WV
2020-07-01,phase 2,start,"Policy_Details: Pennsylvania Secretary of Health Dr. Rachel Levine signed order that requires masks to be worn whenever someone leaves their residence Phase Level: 2, Phase Details Source information: https://www.governor.pa.gov/newsroom/gov-wolf-sec-of-health-signs-expanded-mask-wearing-order/",,PA
2020-05-08,phase 2,start,"Policy_Details: Governor’s Report Card indicates California will be prepared to move into the early phase of Stage 2 of reopening this Friday, May 8 Stage 2 allows gradual reopening of lower-risk workplaces with adaptations including bookstores, clothing stores, florists and sporting goods stores, with modifications Governor also announces new framework to allow counties to move more quickly through Stage 2 if they attest that they meet the state’s readiness criteria  Phase Level: 2, Phase Details Source information: https://www.gov.ca.gov/wp-content/uploads/2020/05/5.4-Report-Card-on-California-Resilience-Roadmap.pdf",,CA
2020-05-15,outdoor and recreation,start,Policy_Details: Ease restrictions on several business categories   Source information: https://health.wyo.gov/restrictions-ease-under-updated-public-health-orders/Source,,WY
2020-06-05,phase 2,start,"Policy_Details: Governor Northam issued amended Executive Order 65 easing certain temporary restrictions on businesses Farmers markets may continue to operate On site shopping is allowed but social distancing must be practiced Employees and vendors must wear face coverings Vendors must supply hand sanitizer or hand washing stations for patrons/employees Cleaning and disinfection of frequently contacted surfaces must be conducted If any business can't adhere to these guidelines, they must close Phase Level: 2, Phase Details Source information: https://www.governor.virginia.gov/media/governorvirginiagov/executive-actions/EO-65-and-Order-Of-Public-Health-Emergency-Six---AMENDED---Phase-Two-Easing-of-Certain-Temporary-Restrictions-Due-to-Novel-Coronavirus-(COVID-19).pdf",,VA
2020-03-28,shelter in place,start,State Policy Start,,MT
2020-03-30,shelter in place,start,State Policy Start,,MD
2020-05-11,phase 1,start,"Policy_Details: Governor Ivey amended Safer at Home Order to reopen some businesses including restaurants, bars, barber shops, salons, and gyms.  Atheltic actitivies with close contact and venues such as night clubs, casinos, arcades, and theaters to be closed.    Source information: https://governor.alabama.gov/newsroom/2020/05/governor-ivey-issues-amended-safer-at-home-order/, https://governor.alabama.gov/assets/2020/05/Safer-at-Home-Order-FINAL-5.8.2020.pdf",,AL
2020-03-23,outdoor and recreation,start,"Policy_Details: social & recreational gatherings of more than 5 people prohibited 

 Phase Level: Shelter in Place, Phase Details Source information: https://portal.ct.gov/-/media/Office-of-the-Governor/Executive-Orders/Lamont-Executive-Orders/Executive-Order-No-7H.pdf",3.0,CT
2020-05-07,entertainment,start,"Policy_Details: ""Under Phase 1 of the state’s re-opening, the following businesses and operations can re-open starting May 7, 2020 at 12:01 a.m.  However, everyone is advised to check the restrictions in place in each county, as they may differ.

Agriculture (non-food), such as landscape, ornamental plant growers, and nurseries
Auto Dealerships
Car Washes
Childcare services, licensed or authorized under the law
Pet Grooming Services
Observatories & Support Facilities
Retail & Repair Services, such as apparel, florists, watch & surfboard repair (Note: retail does not re-open in City & County of Honolulu until May 15, and retail & most repair will not re-open in Maui county.)
Shopping Malls – limited to retail and repair services (Note: shopping malls are not reopening in Maui county.)"" Phase Level: 1, Phase Details Source information: https://governor.hawaii.gov/wp-content/uploads/2020/05/2005024-ATG_Seventh-Supplementary-Proclamation-for-COVID-19-distribution-signed-1.pdf",,HI
2020-03-31,entertainment,start,"Policy_Details: Starting Monday, May 4, 2020, retail businesses will be allowed to sell goods through delivery service, window service, walk-up service, drive-through service, drive-up service or curbside delivery provided they establish and implement sanitation and physical distancing measures. This updated guidance applies to the act of selling goods, not services.   Source information: https://azgovernor.gov/sites/default/files/eo_2020-33_0.pdf",,AZ
2020-03-25,shelter in place,start,State Policy Start,,ID
2020-04-23,manufacturing,start,"Policy_Details: Governor Brian Kemp Executive Order: Stay at home order was extended, but only for elderly and medically compromised.
All other businesses may continue minimum basic operations provided they follow safety requirements. Phase Level: 1, Phase Details Source information: https://www.georgia.org/covid19bizguide, https://gov.georgia.gov/executive-action/executive-orders/2020-executive-orders (click on order from 4/23 to download pdf)",3.0,GA
2020-06-10,phase 3,start,"Policy_Details: More loosening of restrictions. Outdoor gatherings of 25, indoor of 10 allowed.    Source information: https://mn.gov/governor/assets/EO%2020-74%20Final_tcm1055-437539.pdf",,MN
2020-07-01,phase 3,start,"Policy_Details: Governor Northam announced that the entire state will move to phase 3 on July 1 and outlined guidelines for phase 3 Phase Level: 3, Phase Details Source information: https://www.governor.virginia.gov/newsroom/all-releases/2020/june/headline-858266-en.html",,VA
2020-05-09,phase 1,start,"Policy_Details: All businesses and employers are encouraged to adopt and/or take the following actions: Businesses should encourage customers to wear FACE COVERINGS. Continue to encourage TELEWORK, whenever possible and feasible with business operations. If possible, have employees RETURN TO WORK IN PHASES. CLOSE COMMON AREAS where personnel are likely to congregate and interact, or enforce strict social distancing protocols. Follow guidance from the NEVADA LABOR COMMISSIONER regarding sick leave policies. Strongly consider SPECIAL ACCOMMODATIONS for employees who are members of a vulnerable population. Consider encouraging employees to do a SELF-ASSESSMENT each day in order to check if they have any COVID-19 type symptoms (fever, cough or shortness of breath). Remind employees to STAY HOME WHEN SICK, use cough and sneeze etiquette, and practice hand hygiene. Frequently perform enhanced ENVIRONMENTAL CLEANING of commonly touched surfaces. Social Distancing & Sanitation Practices in Businesses - All businesses should consider proactive measures to help protect staff and customers, including but not limited to: • Implementing separate operating hours for the elderly and vulnerable customers. • Designating with signage, tape or by other means, six feet of spacing for employees, customers, clients or members to maintain appropriate distance. • Having hand sanitizer, and sanitizing products, readily available for employees and customers.   Source information: https://nvhealthresponse.nv.gov/wp-content/uploads/2020/05/Declaration-of-Emergency-Directive-018.Phase-1-Reopening.5-7-20-1.pdf",,NV
2020-03-30,shelter in place,start,State Policy Start,,KS
2020-06-05,phase 2,start,"Policy_Details: Governor Northam issued EO 65 easing certain temporary restrictions on businesses Outdoor racetracks may remain open Event must be held at locations with ability to restrict access No tailgating and camping allowed during events Entrances and exists must be staffed No spectators/members of public allowed to attend event All individuals must remain 6 ft apart Participants must monitor symptoms before each race No public amenities will be provided Phase Level: 2, Phase Details Source information: https://www.governor.virginia.gov/media/governorvirginiagov/executive-actions/EO-65-and-Order-Of-Public-Health-Emergency-Six---AMENDED---Phase-Two-Easing-of-Certain-Temporary-Restrictions-Due-to-Novel-Coronavirus-(COVID-19).pdf",,VA
2020-07-06,entertainment,start,"Policy_Details: Phase III—Step One reopening: outdoor event venues, outdoor theaters and concerts, aquariums, museums, movie theaters, fitness centers, horse racing, casino gaming floors, libraries   Source information: https://www.mass.gov/info-details/reopening-when-can-my-business-reopen#overview-of-four-phase-approach-",4.0,MA
2020-05-18,outdoor and recreation,start,"Policy_Details: Arkansas Department of Health Directive Regarding Summer Day Camps: allowed but limiting persons allowed in facilities, screening criteria, face coverings to be worn by those over 10 years old, signage requirements, distancing when possible and limited mixing between groups Phase Level: 1, Phase Details Source information: https://www.healthy.arkansas.gov/images/uploads/pdf/directive_covid_summer_day_camps.pdf",3.0,AR
2020-03-24,shelter in place,start,State Policy Start,,WV
2020-06-13,phase 4,start,"Policy_Details: Includes protocols for general businesses and more specific protocols for daycares, youth activities, places of worship, restaurants, close contact services, and others.    Source information: https://rebound.idaho.gov/stages-of-reopening/",,ID
2020-05-20,phase 1,start,"Policy_Details: gatherings up to 10 people; restaurants open with social distancing ; non-essential businesses & K-12 schools resume limited in-person operations ; childcare facilities resume full operation ; golf courses  open ; all businesses & libraries open for curbside pickup ; single-worker construction, landscaping, & dog grooming resume Phase Level: 1, Phase Details Source information: https://evers.wi.gov/Documents/COVID19/EMO31-BadgerBounceBack.pdf",3.0,WI
2020-05-07,phase 2,start,"Policy_Details: *note: ""phases"" are not used to describe MS reopening but Stage 2 of the Safer-at-Home order officially began on May 7: A May 4 executive order amends the Safer-at-Home order to allow restaurants and bars to resume limited indoor and outdoor in-house dining beginning May 7. Restaurants must follow sanitation, screening and social distancing guidelines, including limiting capacity to 50%. Phase Level: 2, Phase Details Source information: https://mailchi.mp/276b081a1b0a/governor-reeves-amends-safer-at-home-order-to-safely-reopen-restaurants-and-parks-1051769?e=af2ac1b3c1",,MS
2020-06-15,manufacturing,start,"Policy_Details: Governor Carney announced Phase 2 of Delaware's reopening will begin June 15, 2020
INDIVIDUAL GUIDELINES
-Cloth coverings must be worn
-Non-household members must maximize social distancing
-All individuals in public (parks, outdoor recreation areas, shopping, etc) must social distance
-Indoor gathering limit: 50 people but social distance from non-household members
-Places operating at 30% occupancy under Phase 1 can move to 60% occupancy 
-Exercise facilities and personal care services (hair, tanning, tattoo, massage, nail, brow, spas) to remain at 30% occupancy
-Fully unenclosed outdoor gatherings of up to 250 people are permitted
-Leisure travel should be avoided but may resume under general guidance
-All vulnerable individuals should continue to shelter in place
BUSINESS GUIDELINES
-Common areas where people can congregate must remain closed
-Employees/customers have responsibility to self-quarantine if they think they may be sick
-Teleworking is encouraged
-All surfaces touched by customers must be disinfected by EPA-approved disinfectant every 15 minutes to 2 hours 
-Employees required to go to work should perform daily health work 
-All employees must wash hands throughout the day and use hand sanitizer and social distance from other employees
-Businesses must make hand sanitizer available to employees and patrons (hand sanitizer must be 60% ethanol and 70% isopropanol 
-Downtime should be given between shifts and after closing for cleaning 
-Employees must post signs about how to stop spread of COVID-19, hand hygiene, and wear a face covering  Phase Level: 2, Phase Details Source information: https://governor.delaware.gov/wp-content/uploads/sites/24/2020/06/Delaware-Economic-Reopening-PHASE-2.pdf",,DE
